period_granularity,period_start,period_label,period_sort,rollup_level,rollup_node,rollup_node_path,is_reporting_channel,is_root_node,is_leaf_node,role,contribution,n_variables,n_rows,period_model_contribution,share_of_period_model_contribution
week,2024-01-07,2024-01-07,1,1,baseline,baseline,FALSE,FALSE,TRUE,baseline_control,2491.09147424083,1,4,3572.13048720357,0.697368554470408
week,2024-01-07,2024-01-07,1,1,display,display,FALSE,FALSE,TRUE,media,81.1027509767464,1,4,3572.13048720357,0.0227043080501344
week,2024-01-07,2024-01-07,1,1,paid_search,paid_search,FALSE,FALSE,TRUE,media,296.311261390836,1,4,3572.13048720357,0.0829508503265239
week,2024-01-07,2024-01-07,1,1,paid_social,paid_social,FALSE,FALSE,TRUE,media,248.532402638759,1,4,3572.13048720357,0.0695753986392927
week,2024-01-07,2024-01-07,1,1,promo,promo,FALSE,FALSE,TRUE,baseline_control,0,1,4,3572.13048720357,0
week,2024-01-07,2024-01-07,1,1,retail_media,retail_media,FALSE,FALSE,TRUE,media,158.058339455019,1,4,3572.13048720357,0.0442476387750199
week,2024-01-07,2024-01-07,1,1,tv,tv,FALSE,FALSE,TRUE,media,297.03425850138,1,4,3572.13048720357,0.0831532497386208
week,2024-01-14,2024-01-14,2,1,baseline,baseline,FALSE,FALSE,TRUE,baseline_control,2514.2665631615,1,4,3632.73346116553,0.692114241256451
week,2024-01-14,2024-01-14,2,1,display,display,FALSE,FALSE,TRUE,media,74.8146326520275,1,4,3632.73346116553,0.0205945835145372
week,2024-01-14,2024-01-14,2,1,paid_search,paid_search,FALSE,FALSE,TRUE,media,286.390727743563,1,4,3632.73346116553,0.0788361521166149
week,2024-01-14,2024-01-14,2,1,paid_social,paid_social,FALSE,FALSE,TRUE,media,257.330464968434,1,4,3632.73346116553,0.0708365939090591
week,2024-01-14,2024-01-14,2,1,promo,promo,FALSE,FALSE,TRUE,baseline_control,0,1,4,3632.73346116553,0
week,2024-01-14,2024-01-14,2,1,retail_media,retail_media,FALSE,FALSE,TRUE,media,159.352787346018,1,4,3632.73346116553,0.0438658076760995
week,2024-01-14,2024-01-14,2,1,tv,tv,FALSE,FALSE,TRUE,media,340.578285293986,1,4,3632.73346116553,0.0937526215272381
week,2024-01-21,2024-01-21,3,1,baseline,baseline,FALSE,FALSE,TRUE,baseline_control,2536.81349505227,1,4,3640.77833254255,0.696777794016556
week,2024-01-21,2024-01-21,3,1,display,display,FALSE,FALSE,TRUE,media,95.4692228607369,1,4,3640.77833254255,0.0262222014472564
week,2024-01-21,2024-01-21,3,1,paid_search,paid_search,FALSE,FALSE,TRUE,media,283.507581517515,1,4,3640.77833254255,0.0778700474520584
week,2024-01-21,2024-01-21,3,1,paid_social,paid_social,FALSE,FALSE,TRUE,media,243.155289632309,1,4,3640.77833254255,0.0667866229204075
week,2024-01-21,2024-01-21,3,1,promo,promo,FALSE,FALSE,TRUE,baseline_control,0,1,4,3640.77833254255,0
week,2024-01-21,2024-01-21,3,1,retail_media,retail_media,FALSE,FALSE,TRUE,media,152.733694673341,1,4,3640.77833254255,0.0419508359814586
week,2024-01-21,2024-01-21,3,1,tv,tv,FALSE,FALSE,TRUE,media,329.099048806377,1,4,3640.77833254255,0.0903924981822636
week,2024-01-28,2024-01-28,4,1,baseline,baseline,FALSE,FALSE,TRUE,baseline_control,2558.42965814737,1,4,3695.16202202334,0.692372795265541
week,2024-01-28,2024-01-28,4,1,display,display,FALSE,FALSE,TRUE,media,99.5169111814218,1,4,3695.16202202334,0.0269316773089506
week,2024-01-28,2024-01-28,4,1,paid_search,paid_search,FALSE,FALSE,TRUE,media,279.049416813766,1,4,3695.16202202334,0.0755175050919605
week,2024-01-28,2024-01-28,4,1,paid_social,paid_social,FALSE,FALSE,TRUE,media,253.844523299321,1,4,3695.16202202334,0.0686964527634772
week,2024-01-28,2024-01-28,4,1,promo,promo,FALSE,FALSE,TRUE,baseline_control,0,1,4,3695.16202202334,0
week,2024-01-28,2024-01-28,4,1,retail_media,retail_media,FALSE,FALSE,TRUE,media,161.062938067483,1,4,3695.16202202334,0.043587517166376
week,2024-01-28,2024-01-28,4,1,tv,tv,FALSE,FALSE,TRUE,media,343.258574513979,1,4,3695.16202202334,0.092894052403695
week,2024-02-04,2024-02-04,5,1,baseline,baseline,FALSE,FALSE,TRUE,baseline_control,2578.82601338597,1,4,3715.09671096906,0.694147747425207
week,2024-02-04,2024-02-04,5,1,display,display,FALSE,FALSE,TRUE,media,102.769726447985,1,4,3715.09671096906,0.0276627324786864
week,2024-02-04,2024-02-04,5,1,paid_search,paid_search,FALSE,FALSE,TRUE,media,294.812086865719,1,4,3715.09671096906,0.0793551581026862
week,2024-02-04,2024-02-04,5,1,paid_social,paid_social,FALSE,FALSE,TRUE,media,246.608219627581,1,4,3715.09671096906,0.066380026904671
week,2024-02-04,2024-02-04,5,1,promo,promo,FALSE,FALSE,TRUE,baseline_control,0,1,4,3715.09671096906,0
week,2024-02-04,2024-02-04,5,1,retail_media,retail_media,FALSE,FALSE,TRUE,media,148.307189131874,1,4,3715.09671096906,0.0399201422385554
week,2024-02-04,2024-02-04,5,1,tv,tv,FALSE,FALSE,TRUE,media,343.773475509931,1,4,3715.09671096906,0.0925341928501938
week,2024-02-11,2024-02-11,6,1,baseline,baseline,FALSE,FALSE,TRUE,baseline_control,2597.73130925257,1,4,3657.71629491862,0.710205795037029
week,2024-02-11,2024-02-11,6,1,display,display,FALSE,FALSE,TRUE,media,93.1090914949118,1,4,3657.71629491862,0.0254555257946771
week,2024-02-11,2024-02-11,6,1,paid_search,paid_search,FALSE,FALSE,TRUE,media,292.400882807695,1,4,3657.71629491862,0.0799408317189346
week,2024-02-11,2024-02-11,6,1,paid_social,paid_social,FALSE,FALSE,TRUE,media,166.169306491591,1,4,3657.71629491862,0.0454297963793522
week,2024-02-11,2024-02-11,6,1,promo,promo,FALSE,FALSE,TRUE,baseline_control,0,1,4,3657.71629491862,0
