scenario_type,scenario,.draw,spend,spend_vs_current,contribution,contribution_vs_current,profit,incremental_profit,roi,incremental_roi,cost_per_kpi,value_per_cost
optimized,optimized,1,1126026.2889625,83409.3547379609,102703.420962629,9133.13568947867,1955076.33991638,190584.715946399,0.0912087239608398,0.109497738211396,10.9638635053084,2.73626171882519
optimized,optimized,10,1126026.2889625,83409.3547379609,96232.2207384589,7788.75745342463,1760940.33319127,150253.368864778,0.0854617886649215,0.0933799029844292,11.7011358599198,2.56385365994765
optimized,optimized,11,1126026.2889625,83409.3547379609,120975.207656852,11176.4985621313,2503229.94074305,251885.602125978,0.107435509137461,0.133995744209309,9.30790953594799,3.22306527412383
optimized,optimized,12,1126026.2889625,83409.3547379609,120425.450294739,11306.9839431247,2486737.21987967,255800.16355578,0.106947281315871,0.13556014164894,9.35040131638761,3.20841843947614
optimized,optimized,2,1126026.2889625,83409.3547379609,96699.0415551757,8478.21808683811,1774944.95769277,170937.187867182,0.0858763623043584,0.101645889882176,11.644647877094,2.57629086913075
optimized,optimized,3,1126026.2889625,83409.3547379609,127459.184350018,11250.8575310688,2697749.24153804,254116.371194102,0.113193790943777,0.134887238564721,8.83440683152575,3.39581372831331
optimized,optimized,4,1126026.2889625,83409.3547379609,113651.733779727,10873.5134806347,2283525.72442931,242796.04968108,0.100931687735678,0.130363237010944,9.90769125568199,3.02795063207033
optimized,optimized,5,1126026.2889625,83409.3547379609,118348.006431557,11090.1122066358,2424413.9039842,249294.011461114,0.105102347602027,0.132960052759988,9.51453533451538,3.1530704280608
optimized,optimized,6,1126026.2889625,83409.3547379609,133373.707068238,12806.7556897301,2875184.92308464,300793.315953944,0.118446352785534,0.153540999447411,8.44264071018429,3.55339058356602
optimized,optimized,7,1126026.2889625,83409.3547379609,126121.695363985,11835.6246900627,2657624.57195705,271659.385963921,0.112005995419691,0.141898048812937,8.92809350296797,3.36017986259072
optimized,optimized,8,1126026.2889625,83409.3547379609,126392.354308501,10634.7389745719,2665744.34029252,235632.814499197,0.112246361872205,0.127500554439991,8.90897471704716,3.36739085616615
optimized,optimized,9,1126026.2889625,83409.3547379609,115086.066825363,10806.2589803986,2326555.71579838,240778.414673996,0.102205488409512,0.129556918577629,9.78421037423399,3.06616465228536
