.draw,variable,spend_multiplier,spend,spend_vs_current,support,contribution,contribution_vs_current,roi,incremental_roi,mroi,cost_per_kpi,profit,incremental_profit,value_per_cost,scenario,scenario_type
1,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,6329.64456039345,-996.883041733101,0.168472461397457,0.150356245588153,0.0747644485828954,5.9356881932224,152318.540327382,-23276.3506959186,5.0541738419237,all_channels_0.85x,scenario
10,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,6016.60535109042,-1104.96568690399,0.160140479150745,0.166657958086822,0.161174245020794,6.24451734691434,142927.364048291,-26518.8300510454,4.80421437452235,all_channels_0.85x,scenario
11,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,7413.21264045684,-904.377491213293,0.197313161660829,0.136403969654115,0.303106084397521,5.06808563393731,184825.582729283,-20501.1841803244,5.91939484982489,all_channels_0.85x,scenario
12,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,7444.8600617607,-1025.79213969685,0.198155502634809,0.154716499751583,0.22391412842786,5.046541664013,185775.005368399,-24143.6236348311,5.94466507904426,all_channels_0.85x,scenario
2,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,6166.60824803298,-504.09264671301,0.164133018861868,0.0760304615640717,-0.00884259737072183,6.09261930922984,147427.450956568,-8492.63884531588,4.92399056585603,all_channels_0.85x,scenario
3,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,8055.28545536444,-755.662722756427,0.214402839681731,0.113973861694998,0.0405672275751115,4.66411732925013,204087.767176511,-16039.7411266184,6.43208519045194,all_channels_0.85x,scenario
4,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,7058.3971794422,-868.99731996965,0.187869245262577,0.131067707029753,0.129069062121894,5.32285099991934,174181.118898844,-19439.7790430151,5.63607735787731,all_channels_0.85x,scenario
5,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,7530.62527657512,-742.710746714956,0.200438265387789,0.112020362228143,0.126071011552186,4.98906732237628,188347.961812832,-15651.1818453743,6.01314796163366,all_channels_0.85x,scenario
6,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,8335.58438104918,-590.822588844096,0.22186339287498,0.0891116234787501,-0.086619536623453,4.50727804637649,212496.734947054,-11094.5371092484,6.6559017862494,all_channels_0.85x,scenario
7,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,7616.03979245187,-1241.92600708415,0.202711693791473,0.187315185338917,0.355179383747535,4.93311451991855,190910.397289134,-30627.6396564502,6.0813508137442,all_channels_0.85x,scenario
8,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,8034.70664042868,-746.697188778152,0.213855105354505,0.112621622794111,0.155174665745997,4.67606325480195,203470.402728439,-15770.7751072701,6.41565316063515,all_channels_0.85x,scenario
9,display,0.85,37570.7964844218,-6630.14055607443,9392.69912110544,7127.41305233675,-962.962536212591,0.189706200540413,0.145240139039034,0.19486374274173,5.27130898806321,176251.595085681,-22258.7355303033,5.69118601621239,all_channels_0.85x,scenario
1,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,18030.3988182456,-3046.91739952697,0.108098256882813,0.103514623133113,0.151244267146684,9.25084297227919,374115.576352209,-61972.8652454871,3.24294770648439,all_channels_0.85x,scenario
10,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,16945.5022269603,-2363.0682407203,0.101593939834797,0.0802818344908087,0.139511506285246,9.84310679973741,341568.67861365,-41457.3904812869,3.0478181950439,all_channels_0.85x,scenario
11,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,21104.7510079968,-3017.62043961597,0.12653002403927,0.102519301184246,0.168186296881865,7.90326254652126,466346.142044746,-61093.9564481571,3.79590072117811,all_channels_0.85x,scenario
12,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,21519.1792580734,-2710.75781558633,0.129014659675335,0.0920940862161612,0.11100783754891,7.7510571474319,478778.989547043,-51888.0777272678,3.87043979026005,all_channels_0.85x,scenario
2,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,17281.0860792899,-2524.25101608902,0.103605876999389,0.0857577867599554,0.150703155620074,9.6519621179974,351636.194183538,-46292.8737423486,3.10817630998167,all_channels_0.85x,scenario
3,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,22937.3823030747,-2436.89577125559,0.137517260123385,0.0827900183363555,0.033957722034269,7.27181445516559,521325.080897083,-43672.2163973457,4.12551780370156,all_channels_0.85x,scenario
4,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,20550.4229354994,-2604.41662102244,0.123206642289248,0.0884812975398043,0.0914086182857996,8.11644552127583,449716.299869823,-48697.8418903512,3.69619926867744,all_channels_0.85x,scenario
5,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,20805.5254777809,-3256.29373311199,0.124736067146955,0.110627882018113,0.0944714487835145,8.01692744426413,457369.376138268,-68254.1552530377,3.74208201440866,all_channels_0.85x,scenario
6,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,23385.691174667,-4080.49918124504,0.140205021389941,0.138629073110788,0.050517050058886,7.1324121638895,534774.347044851,-92980.3186970293,4.20615064169822,all_channels_0.85x,scenario
7,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,22769.3165747475,-2065.25362552165,0.13650965000577,0.0701640125700021,0.148497119319721,7.32548944311069,516283.109047267,-32522.9520253275,4.09528950017309,all_channels_0.85x,scenario
8,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,22688.5492416482,-2713.23378078533,0.136025422895259,0.0921782035619433,0.123727472202222,7.35156692561808,513860.089054288,-51962.3566832379,4.08076268685778,all_channels_0.85x,scenario
9,paid_search,0.85,166796.388195158,-29434.656740322,18532.9320216842,20230.6348554283,-2677.25234625887,0.121289406049714,0.0909557862311114,0.146742925871713,8.2447431525068,440122.657467692,-50882.9136474442,3.63868218149143,all_channels_0.85x,scenario
1,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,16850.1111924178,-1774.23722122662,0.141646643260609,0.0845167656106971,0.111414354882917,7.05982137649494,386544.560579985,-32234.3916028195,4.24939929781827,all_channels_0.85x,scenario
10,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,15536.782337896,-2459.30060387584,0.130606441708466,0.117150136530403,0.0970024275166251,7.65659018742853,347144.694944333,-52786.2930822961,3.91819325125399,all_channels_0.85x,scenario
11,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,20291.3615860877,-906.133215494763,0.170574735266431,0.043164153964199,0.0155667179816493,5.86253291519427,489782.072390083,-6191.2714308639,5.11724205799293,all_channels_0.85x,scenario
12,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,19319.917668765,-2659.12664547028,0.162408512003369,0.126668959897593,0.156064296063013,6.15731273973654,460638.754870402,-58781.0743301294,4.87225536010108,all_channels_0.85x,scenario
2,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,15319.4481393403,-2061.78554135021,0.128779470993579,0.0982142879503729,0.126331434778125,7.76521282689431,340624.668987662,-40860.8412065275,3.86338412980736,all_channels_0.85x,scenario
3,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,20941.6227317152,-1877.4248319724,0.176041008305768,0.08943216418705,0.156446621065792,5.68049461670367,509289.90675891,-35330.0199251931,5.28123024917303,all_channels_0.85x,scenario
4,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,17820.3358109479,-2222.57874544205,0.149802616764537,0.10587376064063,0.0783623915728526,6.67545081386545,415651.299135889,-45684.6373292824,4.4940785029361,all_channels_0.85x,scenario
5,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,19109.3350949003,-2077.30757258929,0.160638297292233,0.0989536884433507,0.284765967330037,6.22516558539465,454321.277654462,-41326.5021436996,4.81914891876698,all_channels_0.85x,scenario
6,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,20995.8479055294,-3048.31912920957,0.176496839947666,0.145208357860904,0.194167722193003,5.6658238203954,510916.661973336,-70456.8488423081,5.29490519842998,all_channels_0.85x,scenario
7,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,20431.7631568648,-2732.08697839075,0.17175498927081,0.130144465474043,0.081692961533653,5.82224716874614,493994.119513395,-60969.8843177435,5.15264967812431,all_channels_0.85x,scenario
8,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,22039.7288625036,-605.422231649864,0.185271988777876,0.0288396209005702,-0.133890254040865,5.39746999315103,542233.090682559,2830.05808448308,5.55815966333628,all_channels_0.85x,scenario
9,paid_social,0.85,118958.775192548,-20992.725033979,16994.1107417925,18137.6740392237,-2076.7518978672,0.152470248704779,0.0989272185724221,0.18500675632531,6.55865658051265,425171.445984162,-41309.831902037,4.57410746114338,all_channels_0.85x,scenario
1,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,12781.1761218312,-1560.54326885194,0.102349952561716,0.0708141925869574,0.133099205860871,9.77040022951653,258558.077540705,-24779.1440453997,3.07049857685149,all_channels_0.85x,scenario
10,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,12617.3033429353,-1688.19342438527,0.101037681219371,0.0766066899038328,0.0470826780630378,9.89729760156331,253641.894173829,-28608.6487113998,3.03113043658113,all_channels_0.85x,scenario
11,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,15359.6315263331,-1691.07232921823,0.122997879311001,0.0767373285893147,0.0883043696975818,8.13022147700199,335911.739675764,-28695.0158563885,3.68993637933003,all_channels_0.85x,scenario
12,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,14712.8185111527,-2447.46389845468,0.117818287011436,0.111060797424925,0.0961104072599306,8.48764674284336,316507.34922035,-51386.7629334822,3.53454861034309,all_channels_0.85x,scenario
2,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,12842.2949443497,-556.443072856871,0.102839383935306,0.0252502238877066,0.0309154247630605,9.72390111388725,260391.64221626,5343.8618344522,3.08518151805918,all_channels_0.85x,scenario
3,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,16350.2271363162,-1466.41347411493,0.130930436747279,0.0665427791979645,0.0797517424649625,7.63764350630094,365629.607975254,-21955.2502032896,3.92791310241836,all_channels_0.85x,scenario
4,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,14210.8828128084,-1397.36884383899,0.113798852929245,0.0634096781535744,0.168289517917737,8.78743479621672,301449.278270021,-19883.9112950113,3.41396558787736,all_channels_0.85x,scenario
5,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,15741.4758009195,-886.394155220127,0.126055637299573,0.0402227145306197,0.0131705966129993,7.93300499225977,347367.067913354,-4554.67063644546,3.78166911898719,all_channels_0.85x,scenario
6,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,16882.9299877727,-1606.17941092029,0.135196250085297,0.0728850653514992,0.0938736528575404,7.39665485817164,381610.69351895,-26148.2283074504,4.05588750255891,all_channels_0.85x,scenario
7,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,16447.5604017528,-1770.49540631191,0.131709868546446,0.0803413818632098,0.0816866709448967,7.59244550948254,368549.605938352,-31077.708169199,3.95129605639338,all_channels_0.85x,scenario
8,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,16602.733879794,-1812.91503905444,0.132952477048588,0.0822662961558505,0.0150550464936279,7.52148453491805,373204.81027959,-32350.2971514748,3.98857431145763,all_channels_0.85x,scenario
9,retail_media,0.85,124877.206114231,-22037.1540201583,11352.4732831119,14824.4828423882,-1815.50071783829,0.118712480072845,0.0823836288559572,0.022433033476273,8.42371416540512,319857.279157415,-32427.8675149903,3.56137440218536,all_channels_0.85x,scenario
1,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,29669.4633936293,-2530.91025529473,0.0677352180441609,0.0327423053034817,0.051571022991569,14.7633687301049,452062.673704382,1370.55612430483,2.03205654132483,all_channels_0.85x,scenario
10,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,27344.6867905312,-2367.05527973561,0.0624277661355892,0.0306225187073242,0.00918008929117125,16.0185132658449,382319.375611437,6286.20539107852,1.87283298406767,all_channels_0.85x,scenario
11,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,36196.6142474613,-2913.93461084239,0.0826366667298277,0.0376974791828298,-0.0189877934136238,12.1011657363843,647877.199319339,-10120.1745421249,2.47910000189483,all_channels_0.85x,scenario
12,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,35809.2623464089,-1469.28800624552,0.081752344518485,0.0190081321052739,0.0210712215381458,12.2320650972143,636256.642287768,33219.2235957812,2.45257033555455,all_channels_0.85x,scenario
2,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,27614.6868239646,-3350.12695635098,0.0630441746932334,0.0433404856536463,0.04440179069784,15.8618937414265,390419.37661444,-23205.9449073826,1.891325240797,all_channels_0.85x,scenario
3,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,35995.7970134313,-5391.61537894796,0.0821782021140853,0.0697511563071616,0.0383729134321542,12.1686770247387,641852.682298442,-84450.5975852919,2.46534606342256,all_channels_0.85x,scenario
4,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,32257.2595118625,-3787.56051825881,0.0736431420263652,0.0489995497014577,0.0380764696798974,13.578996936904,529696.557251377,-36328.9517646174,2.20929426079096,all_channels_0.85x,scenario
5,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,34222.5384446866,-2885.68792242195,0.078129862775788,0.0373320526750587,0.0438862093362439,12.7992033324023,588654.9252361,-9272.77388951172,2.34389588327364,all_channels_0.85x,scenario
6,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,36767.4137966348,-4873.66382263556,0.0839397988899826,0.063050433532138,0.0895939741506862,11.9132999271379,665001.185794545,-68912.0508959199,2.51819396669948,all_channels_0.85x,scenario
7,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,35853.1415110517,-3358.48721974509,0.0818525204045549,0.043448642114704,0.0646260947442498,12.2170947828792,637573.017227051,-23456.7528092059,2.45557561213665,all_channels_0.85x,scenario
8,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,35949.2621286973,-4564.36634058908,0.0820719632339848,0.0590490618653324,0.0674543366645964,12.1844288913746,640456.63575642,-59633.1264345255,2.46215889701954,all_channels_0.85x,scenario
9,tv,0.85,438021.228104499,-77297.8637831468,24334.5126724721,31986.780806851,-4440.35475055909,0.0730256406642008,0.0574447278778125,0.0988967788101924,13.6938202924966,521582.196101032,-55912.7787336258,2.19076921992602,all_channels_0.85x,scenario
1,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,7827.21794196489,500.690339838343,0.153984890977266,0.0755173039853007,0.212910942827806,6.49414363742762,183985.460662376,8390.56963907586,4.61954672931799,all_channels_1.15x,scenario
10,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,7672.4522091317,550.881171137288,0.150940184074503,0.0830874046301447,-0.0532349110139681,6.62514098635529,179342.488677381,9896.29457804423,4.52820552223508,all_channels_1.15x,scenario
11,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,9357.86449277944,1040.27436110932,0.184097306908378,0.156900800565417,0.183543523073696,5.4319099871335,229904.857186813,24578.090277205,5.52291920725134,all_channels_1.15x,scenario
12,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,9177.19701338046,706.544811922908,0.180543034838191,0.106565585743968,0.192709007039727,5.53884563254536,224484.832804843,14566.2038016128,5.41629104514574,all_channels_1.15x,scenario
2,display,1.15,50831.0775965706,6630.14055607443,12707.7693991427,7278.72112796914,608.020233223145,0.143194310884729,0.0917054816682712,0.122016962568026,6.98351766785619,167530.556242504,11610.4664406199,4.29582932654188,all_channels_1.15x,scenario
